video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,UgwMXfF2LcG8I07rkhR4AaABAg.AOPM3AE2-dMAObHk3rW61e,UgwMXfF2LcG8I07rkhR4AaABAg,@OoySet,UCDYuWctsBdFEJWcUhchamcg,Yes me too. I watch all eps over and over again many time. I like Mizu so much.,en,2025-10-23T03:46:45Z,2025-10-22 23:46:45,3
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,UgwMXfF2LcG8I07rkhR4AaABAg.AOPM3AE2-dMAP4bCLf2kQR,UgwMXfF2LcG8I07rkhR4AaABAg,@SunnyYogiSD,UCTTV3LMvHNrSNn2LAhbnexQ,"​@OoySetYep! Me, too! 👀 ALL other animation is ""blah"" by comparison 🫤 I also had to turn on English CC to pick up on those actual Japanese words - names of festivals/rituals, etc...and checked on historical events like the 1657 fire 🧐",en,2025-11-03T22:22:44Z,2025-11-03 17:22:44,0
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,UgwMXfF2LcG8I07rkhR4AaABAg.AOPM3AE2-dMAQWeF-ic3u8,UgwMXfF2LcG8I07rkhR4AaABAg,@zivakrasna3534,UCr5FZxHY0ED522pg9pCeJcw,This!!! I also have a huge crush on her bruh tbh i never had one for animated cheaters,en,2025-12-09T16:19:26Z,2025-12-09 11:19:26,0
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,UgyDnPgHrugokJyhvOl4AaABAg.AOBX4-Js0dgAOaeawexZDg,UgyDnPgHrugokJyhvOl4AaABAg,@TheShepRad,UCwvHHNVvOyfl4WQOKDguiNg,*4k uhd blu-ray,NA,2025-10-22T21:55:59Z,2025-10-22 17:55:59,0
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,UgxYkPnndz2Rz99eKBB4AaABAg.ANWGtYamqbgAO7sRB0jfP4,UgxYkPnndz2Rz99eKBB4AaABAg,@paulboateng5643,UCVSsx30k3HYrBN0JW7CxiZA,and funny thing is nothing is really like this,en,2025-10-11T08:19:38Z,2025-10-11 04:19:38,1
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,Ugx2b5Rm2WydGkzwP214AaABAg.AMPhgio3eb1AMyQYCcUA_w,Ugx2b5Rm2WydGkzwP214AaABAg,@saulmanzanoxD,UCO0i1NAmi6bqzlK-iZPqfbw,Una ninja 🤔,sw,2025-09-12T10:23:23Z,2025-09-12 06:23:23,1
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,Ugx2b5Rm2WydGkzwP214AaABAg.AMPhgio3eb1AP7P0ze27U2,Ugx2b5Rm2WydGkzwP214AaABAg,@mazdaspeedg2380,UClz1g8GoShwGYD7qbSS8kYg,Exactly like ghost of tsushima,NA,2025-11-05T00:25:18Z,2025-11-04 19:25:18,0
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,Ugx2b5Rm2WydGkzwP214AaABAg.AMPhgio3eb1AQQEdCtivuI,Ugx2b5Rm2WydGkzwP214AaABAg,@weyIanyutani,UCAQAwIltqvH_NrrLHuiLuPw,An onryō,vi,2025-12-07T04:31:30Z,2025-12-06 23:31:30,1
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,Ugyqx4A9TI0vQ3N8pJZ4AaABAg.AMLP4BFBQd6AMQKWazVnHd,Ugyqx4A9TI0vQ3N8pJZ4AaABAg,@anhedonia_anagapesis,UCH29qT-xbiT3u3nevyGzM4Q,"She's also half white. But what do I know, I'm a white westerner",da,2025-08-29T19:17:19Z,2025-08-29 15:17:19,0
wuGj4XgbDKg,Blue Eye Samurai: Season 2 | Official Start of Production | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-21T23:10:00Z,UgxZR9IDMElZC-PwJ_N4AaABAg.AML7yeBmuKQAML8-dFYVb4,UgxZR9IDMElZC-PwJ_N4AaABAg,@jarehtarreola6914,UC-6pm4Mu1uBOERUn_Ls7JWQ,Y al final no terminan pagando a los que les dan like a los videos,es,2025-08-27T18:51:45Z,2025-08-27 14:51:45,0
