video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,UgyBd7gHXLKbNlkIVZZ4AaABAg,@NirajanCr7,UCbq1f-UT6EoiwPq6IahWYKQ,Geralt from temu 😂😂,NA,2025-11-06T16:47:00Z,2025-11-06 11:47:00,0,1,UgyBd7gHXLKbNlkIVZZ4AaABAg.APBj9ylL6ioAPEHzI9ERmq,@mahalak4383,UCwHrif6lgI8Qi7OhR55rwjQ,Wow.. the comment is so original,en,2025-11-07T16:38:27Z,2025-11-07 11:38:27,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,UgwCbqL7wce0_ZH4Vsd4AaABAg,@tanjib6615,UCtq5kWosrOSy9PxyRTGbWOQ,"Watched the first episode, diverse female archer lectures the group about a victim they just saved. Ciri gets hit by a ""dirty man"" and saved by a ug*y black lesbian that proceeds to do exactly the same XD. And that is supposed to be the Highlight of the new season? BYE",en,2025-11-01T07:02:37Z,2025-11-01 03:02:37,1,2,UgwCbqL7wce0_ZH4Vsd4AaABAg.AOyoJU63bBLAP-Gm6_noyd,@mahalak4383,UCwHrif6lgI8Qi7OhR55rwjQ,Didnt you watch the battle of montecalvo?,en,2025-11-01T20:39:19Z,2025-11-01 16:39:19,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,UgwCbqL7wce0_ZH4Vsd4AaABAg,@tanjib6615,UCtq5kWosrOSy9PxyRTGbWOQ,"Watched the first episode, diverse female archer lectures the group about a victim they just saved. Ciri gets hit by a ""dirty man"" and saved by a ug*y black lesbian that proceeds to do exactly the same XD. And that is supposed to be the Highlight of the new season? BYE",en,2025-11-01T07:02:37Z,2025-11-01 03:02:37,1,2,UgwCbqL7wce0_ZH4Vsd4AaABAg.AOyoJU63bBLAP460QlnQzg,@tanjib6615,UCtq5kWosrOSy9PxyRTGbWOQ,​@mahalak4383na,NA,2025-11-03T17:41:29Z,2025-11-03 12:41:29,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,UgwTELldK0m5hDsR7O94AaABAg,@djapex9596,UCqxbzq8_F5G_xQR3Serrxsg,Why isn't Gerald African american?,en,2025-10-30T23:13:12Z,2025-10-30 19:13:12,0,1,UgwTELldK0m5hDsR7O94AaABAg.AOvOnSSxSO8AP3BMs_pkC7,@yahudigahba,UCMaBndU-Yjdl9IAHUiz8_0A,Dont give Lauren the prostitute any ideas.,en,2025-11-03T09:09:00Z,2025-11-03 04:09:00,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,Ugzj5fvXEaRXCToTw1F4AaABAg,@curtis8559,UC24WzJtgnMHXXBmfw_M-8fw,"So, Ciri's now queer at the beginning of season 4. I'll fast forward past any scene that she's present in unless something else turns my stomach as which point I'll just be done with the rest of the series all together. Disgusted.",en,2025-10-30T08:40:53Z,2025-10-30 04:40:53,1,1,Ugzj5fvXEaRXCToTw1F4AaABAg.AOtpySBJrMDAOtw2TSCcUN,@nightman6968,UCAgUj-VwyISakyILWb1ZWlg,"I am kinda surprised they decided to do that, but honestly I just started episode 2 and idk if I want to watch anymore. It feels very rushed and it jumps from character to character every 5mins.. this series is cooked even Cavill with what little screen time he had couldn't have saved this mess.",en,2025-10-30T09:34:00Z,2025-10-30 05:34:00,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,Ugwkcai-pzQ-JGkEslt4AaABAg,@phekomoeketsi9721,UC2xggSRmoUfJUZsZYCYiU4g,"Lmao geralt opening a tomb to fight a wraith with Zero prep is insane..😂😂😂😂no Yrden or potions whatsoever 😂😂😂. Might as kick the door down and say his famous catchphrase "" It's Witchin' time""😂😂",en,2025-10-26T18:34:23Z,2025-10-26 14:34:23,0,2,Ugwkcai-pzQ-JGkEslt4AaABAg.AOkahtVoYKgAOkb1M60caD,@phekomoeketsi9721,UC2xggSRmoUfJUZsZYCYiU4g,"I take it back some of it.. they at least used Yrden😂😂still though. Zero potions,oils or decoctions even bombs.  Tsk tsk tsk",en,2025-10-26T18:37:11Z,2025-10-26 14:37:11,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,Ugwkcai-pzQ-JGkEslt4AaABAg,@phekomoeketsi9721,UC2xggSRmoUfJUZsZYCYiU4g,"Lmao geralt opening a tomb to fight a wraith with Zero prep is insane..😂😂😂😂no Yrden or potions whatsoever 😂😂😂. Might as kick the door down and say his famous catchphrase "" It's Witchin' time""😂😂",en,2025-10-26T18:34:23Z,2025-10-26 14:34:23,0,2,Ugwkcai-pzQ-JGkEslt4AaABAg.AOkahtVoYKgAOkb92PL0eP,@phekomoeketsi9721,UC2xggSRmoUfJUZsZYCYiU4g,The butcher of home depot,en,2025-10-26T18:38:14Z,2025-10-26 14:38:14,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,UgywhGcUxNx3iz8avKt4AaABAg,@PFG888,UCImhMuuU1L1Fku-8FatAZpw,"0:58 - it was here, this is when you lost me.",en,2025-10-21T02:42:27Z,2025-10-20 22:42:27,4,1,UgywhGcUxNx3iz8avKt4AaABAg.AOX0nHW5vSqAOypTx-_6qE,@stewie6720,UC_m3wZtvDsPQrdz_pSmqbjw,yeah i was like wtf just happened... looks low budget and super cheesy,en,2025-11-01T07:12:47Z,2025-11-01 03:12:47,0,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,UgwE1MaBjZgPIeAxcdJ4AaABAg,@Villedavile,UC0yKHCVSgBmrfPZnFIamjjQ,They got my guy looking like 1995 Raiden From Mortal Kombat,NA,2025-10-12T23:23:51Z,2025-10-12 19:23:51,8,1,UgwE1MaBjZgPIeAxcdJ4AaABAg.AOC3hkaBIo3AOKAXyWcfri,@wolfman_jagermeistro8445,UCUxN25rLqmrqwtRtpP0P5hA,Dont disrespect raiden like that 😂,NA,2025-10-16T02:57:28Z,2025-10-15 22:57:28,1,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
kQGshAJmdBU,https://www.youtube.com/watch?v=kQGshAJmdBU,UgzPZuN4CetEvVGEoit4AaABAg,@Prashant_Negi_99,UCzy87TAeNha7CKCTjKYjaFA,"Likes: 29K
Dislikes: 156K
Faith in humanity: Restored",mg,2025-10-12T09:07:16Z,2025-10-12 05:07:16,322,3,UgzPZuN4CetEvVGEoit4AaABAg.AOAXfuoiChKAOyoma7UbKl,@stewie6720,UC_m3wZtvDsPQrdz_pSmqbjw,I added a dislike too! How do we see the # of dislikes?,ig,2025-11-01T07:06:44Z,2025-11-01 03:06:44,7,2398604,30169,14620,"Mon, 15 Dec 2025 15:22:54 GMT"
