video_id,comment_id,comment_content,author,published_at,like_count,reply_count
aujfxCKjGn4,Ugwo0HcrpCcGUSOXy3V4AaABAg,Volleyball ahh play,@duanchen655,2025-12-26T02:34:40Z,1,1
aujfxCKjGn4,Ugzy8OnvlXp0Qor5oOt4AaABAg,Arsenal won because of VAR wasn't working correctly,@JamesKang-g5d,2025-12-23T04:55:46Z,0,0
aujfxCKjGn4,UgxMgICp-ZF4IjyKiJ94AaABAg,Everton robbed of a penalty,@siaahmadi413,2025-12-22T22:47:49Z,0,0
aujfxCKjGn4,UgxVGVmCOePVinq0p8N4AaABAg,Why was a Penalty not awarded for Saliba foul?? Saliba clearly fouled the evertons player.. so inconsistent,@AshmitaPoudel-ig2iv,2025-12-22T21:27:58Z,0,0
aujfxCKjGn4,UgzFQ2aQ5gJrfMk-H_R4AaABAg,7:52 Mama Mia!,@alexcoyg3281,2025-12-22T19:40:23Z,1,0
aujfxCKjGn4,UgwGCG9cbfszZ-jlMx94AaABAg,How is that not a pen on saliba? We need to fix VAR because they cant have any sort of consistency on their calls,@alexkarsten5567,2025-12-22T19:19:38Z,1,0
aujfxCKjGn4,UgyZlCNOLZbfIdkRelZ4AaABAg,How have Everton not gotten a pen that game,@cfcmonkey228,2025-12-22T07:20:34Z,0,0
aujfxCKjGn4,UgyL-Eoaw4UwXUKqOyh4AaABAg,"That Saliba kick on Barry should never be a penalty. I don’t care if it’s been called in the past.

The contact is completely inconsequential, you shouldn’t be rewarding that behavior",@M0J0-RL236,2025-12-22T04:50:04Z,1,0
aujfxCKjGn4,UgyTHsmnOKxPNokC9It4AaABAg,"How that was not a penalty on Gyokeres is one thing, the fact that VAR didn’t even review is something else!!   Incredible inconsistency once again and slightly dubious that the NBC coverage on YouTube doesn't even want to show the replay. !!",@TheEnglish1969,2025-12-22T00:35:43Z,2,0
aujfxCKjGn4,Ugz4hkmeVPT74ZeU13N4AaABAg,TARKOWSKI PLAYED A HELLUVA GAME!,@DJShadowAnt,2025-12-21T23:46:59Z,0,0
aujfxCKjGn4,UgxFEEagv3hwQ1GqGTF4AaABAg,3:34 not worth 70 million sorry,@steamynoodle2010,2025-12-21T21:55:26Z,1,0
aujfxCKjGn4,Ugz7V4s6PSM59gbY7k54AaABAg,"1-0 vs EVERTON? And on a penalty kick?  A win is a WIN BUT with the 1st team back, minus 1 or 2 players,  the side HAS to be better to stay on top!  Hopefully that warm weather in Dubai during the break will cheer them up.  Amazing perks being an EPL footballer! Hope they appreciate it.  Seriously even the defense when they come forward score goals!  It IS nice to have such depth to rest players this season!",@EmKhad,2025-12-21T21:03:33Z,0,0
aujfxCKjGn4,Ugx63YmX41hkmFFVESd4AaABAg,Obvious penalty when Saliba kicked Barry’s foot instead of the ball. That’s crazy VAR,@josesarabia8692,2025-12-21T19:17:26Z,0,0
aujfxCKjGn4,Ugw9yHDayCBimSsNGbJ4AaABAg,HAPPY ☀️ SUNDAY EVERYBODY...enjoy the Games &relaxing...until next Trésor in Museums...à suivre...,@abdenasser2086,2025-12-21T18:33:38Z,0,0
aujfxCKjGn4,UgySCsFGlnrU0Q4S9BB4AaABAg,Clear penalty for Everton. VARsenal.,@GreggaraZZi,2025-12-21T18:30:44Z,0,0
aujfxCKjGn4,UgyHBGEAq9uqPvJq7_J4AaABAg,"Literally the worst penalty I've ever seen. That was a move for volleyball, not football",@thomassteele9649,2025-12-21T18:29:17Z,1,0
aujfxCKjGn4,UgwaNF7isPIe6dQ2kPR4AaABAg,Arsenal buncha second hand wannabes   And the refs will do their outmost to help them win but we all know what’s going to happen next!😂,@betweenlamppost,2025-12-21T17:03:07Z,0,1
aujfxCKjGn4,Ugzg7Hz4hrq2rvBWBx94AaABAg,Can see the fear of once again proving why Arsenal is the best second team ever in Arteta’s eyes! 😂,@betweenlamppost,2025-12-21T17:00:22Z,0,0
aujfxCKjGn4,Ugxi0NRr1tQqBV9jMHN4AaABAg,Arsenal scraping by 😂I hope they don’t think playing like this is sustainable to be at the top,@gabrielguerrero3404,2025-12-21T16:54:03Z,0,0
aujfxCKjGn4,Ugx9jXTDKqLxzTYH4S94AaABAg,genuinely craziest handball i've seen all season.  obrien thought he was playing volleyball.,@LateNightZythix,2025-12-21T16:48:51Z,72,1
aujfxCKjGn4,UgwT6WBKkUcEMG_QjuN4AaABAg,Everyone here complaining about Arsenal not obtaining those penalties. Maybe score some goals through plays.,@jjmadrid23,2025-12-21T16:37:04Z,0,0
aujfxCKjGn4,UgysY639eJDLN2Ao38N4AaABAg,I don't know what a penalty is anymore.,@noleyt23,2025-12-21T16:20:38Z,2,0
aujfxCKjGn4,Ugw7TishdGz5JKIE87N4AaABAg,Bro went down to easy 😂,@Parth-or8uh,2025-12-21T15:30:47Z,0,0
aujfxCKjGn4,UgyzgT5BAbbxE6RoV6x4AaABAg,"Eze or madueke instead of odegard. Great player but not a lot of composure on the ball, mediocre player imo. I think even arteta has been getting tired of him",@astronime,2025-12-21T15:29:12Z,0,0
aujfxCKjGn4,UgzOGRD-S16JQgYEVuB4AaABAg,We need to work on finishing I still think the best attacking football was the first title push 3 years ago before Christmas that arsenal was difff,@Parth-or8uh,2025-12-21T15:27:35Z,1,0
aujfxCKjGn4,UgztZrc31E--Q-phXyl4AaABAg,WHY DO PLAYERS JUMP AND STRETCH THEIR ARMS TOWARDS THE BALL???!?!!,@tjallday95,2025-12-21T15:19:52Z,1,0
aujfxCKjGn4,Ugzib4FDHu8OHznImSp4AaABAg,"Not too concerned. With a bit of luck, this could easily have been a 3-nil score in favor of Arsenbl",@abdulaijalloh8820,2025-12-21T15:17:43Z,1,0
aujfxCKjGn4,UgzZJVwHsQLJaTdATFV4AaABAg,5:32 i'm still fuming Timber didn't pass to Gyokeres. Like wtf,@rhr98,2025-12-21T15:02:08Z,0,2
aujfxCKjGn4,UgwMcL19pzHMIDpTQih4AaABAg,Saliba clearly kicked barry and blind turned a blind eye. They are working so hard to help.arsenal,@oud944,2025-12-21T14:45:13Z,1,0
aujfxCKjGn4,UgypkBCqRaYapY4V_O94AaABAg,Trossard should have scored that goal. He went wider than he had to.,@Stingball22,2025-12-21T13:58:07Z,16,0
aujfxCKjGn4,UgzBg8_zkDGhkeAmFOt4AaABAg,Odegard need to go,@jjisursavior24,2025-12-21T13:39:40Z,0,0
aujfxCKjGn4,Ugw4kCeF_SeNzhsZlF14AaABAg,My man was playing volleyball at the beach,@jjisursavior24,2025-12-21T13:31:29Z,11,0
aujfxCKjGn4,UgwdsV0YSFGvFCzau5V4AaABAg,Var is useless,@Chorichocho,2025-12-21T13:31:20Z,0,0
aujfxCKjGn4,UgwjpgDijilcx4AFuCh4AaABAg,What was O’Brien thinking? I’m not complaining thanks for the points man.,@MoChiNu-h8d,2025-12-21T13:25:58Z,0,0
aujfxCKjGn4,Ugwp-wqok8EsKbS4WUJ4AaABAg,Assna aren’t winning the league 🤣,@Angsttttt,2025-12-21T13:06:22Z,0,0
aujfxCKjGn4,UgzEkn9xuZE3rA5rXxZ4AaABAg,they gotta give the title like this to Arsenal that was horrendous,@henryelvires1967,2025-12-21T13:05:29Z,0,0
aujfxCKjGn4,UgyA1ctZCBkBISImMfZ4AaABAg,That's a penalty,@obadikesomto7891,2025-12-21T12:54:31Z,0,0
aujfxCKjGn4,Ugx_HPvK5IUUlBAqT-R4AaABAg,"How much did the refere  put money on the win for Arsenal? If he doesn't give  a clear penalty, then something is fishy here. 🧐",@arifimanov3222,2025-12-21T12:50:35Z,0,0
aujfxCKjGn4,Ugz5UA7AI7KxK1_JT9x4AaABAg,"100% pen for Everton, seen many teams get penalty’s for the same exact reason 🤦🏾‍♂️ look at 2024 copa America in a Mexico game a player did the same thing and got a pen and carded for it even tho they both contested the ball.",@Fazenig,2025-12-21T12:49:21Z,0,0
aujfxCKjGn4,UgyMaSUQs_HGHO2A3nh4AaABAg,"O’Brien match fixing, and VAR too",@broduce6535,2025-12-21T12:26:21Z,0,0
aujfxCKjGn4,UgwDDWkwO1mHSUsKXBt4AaABAg,"Couple things.. that Everton defender should not be sticking his hands up like that what was he thinking lol
Secondly, getting kicked in your foot/boot is a foul anywhere. That shoulda been a penalty",@philippinedr3am236,2025-12-21T12:06:28Z,0,0
aujfxCKjGn4,UgxWC7JU0NOideWFsER4AaABAg,Shouldve been 3-0 or 3-1,@judgedreddthelaw3418,2025-12-21T11:56:34Z,1,0
aujfxCKjGn4,UgyRFjDcD3ib38XEulB4AaABAg,There’s absolutely no good reason to rise hand during corner kick. That Everton player is out of his freaking mind. He literally gave arsenal three points,@xihuantiyu,2025-12-21T11:47:13Z,0,0
aujfxCKjGn4,UgxbD0l6GXEtUBTuHgl4AaABAg,"Again,  Referee and VAR cannot be trusted. How on earth and heaven Everton didn't get a penalty.",@hopetonmclaren883,2025-12-21T11:42:48Z,0,0
