video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgzheSG4CGjKRAPCJQJ4AaABAg.AQ1tbj5HvXNAQ4O6LlTw5j,UgzheSG4CGjKRAPCJQJ4AaABAg,@CJL0911,UCoLXZSVg6B2hmxgYsuzCMGg,I just looked up last resort on Spotify and I found one that was the same as this that said devil may cry trailer version,en,2025-11-28T16:50:58Z,2025-11-28 11:50:58,2
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgxsGW9CQZjFj9Bavj94AaABAg.APz85oe1rLLAQF8qMSJCl9,UgxsGW9CQZjFj9Bavj94AaABAg,@DavidHolmes-i1i,UC6GfRs8S2fuj2VXsKOpBVEA,It was good,en,2025-12-02T21:09:14Z,2025-12-02 16:09:14,1
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgwdPjrRbXadgTHsg4B4AaABAg.AOsZczq1yUQAP8k5sc3pbz,UgwdPjrRbXadgTHsg4B4AaABAg,@chiz_thy_driz,UCRG9tXpgomRgjEWrNBZC6mQ,"no, it's not a remake of the version that dropped in 2007. this is a spin off while the 1st dmc anime is a canonical to the games",en,2025-11-05T12:57:27Z,2025-11-05 07:57:27,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgwdPjrRbXadgTHsg4B4AaABAg.AOsZczq1yUQAPBSlGUdJWJ,UgwdPjrRbXadgTHsg4B4AaABAg,@Zommari,UCJ3-VtCbyWjC87dXAt-iAqw,@chiz_thy_driz OK tnx hope is et list good as shadow of the one from 2007 😅,en,2025-11-06T14:14:57Z,2025-11-06 09:14:57,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgzT-6gt6vJcbMVqYOJ4AaABAg.AOs8Cp_XbIQAOu6b62s24c,UgzT-6gt6vJcbMVqYOJ4AaABAg,@DavidHolmes-i1i,UC6GfRs8S2fuj2VXsKOpBVEA,That doesn't even happen,en,2025-10-30T11:14:59Z,2025-10-30 07:14:59,3
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgzT-6gt6vJcbMVqYOJ4AaABAg.AOs8Cp_XbIQAQ-Q2jKo5oD,UgzT-6gt6vJcbMVqYOJ4AaABAg,@jackelein,UCRmrB_v26cYQRgznqcAT3Ug,​@DavidHolmes-i1iit did,so,2025-11-26T18:31:45Z,2025-11-26 13:31:45,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgzT-6gt6vJcbMVqYOJ4AaABAg.AOs8Cp_XbIQAQ-Yfm4nslu,UgzT-6gt6vJcbMVqYOJ4AaABAg,@DavidHolmes-i1i,UC6GfRs8S2fuj2VXsKOpBVEA,​@jackelein Mundus didn't even show up. Stop spreading misinformation,NA,2025-11-26T19:47:07Z,2025-11-26 14:47:07,1
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugzy-MrxFDckGTi-iTt4AaABAg.ANzQrWaQBmyAO857yHAjqP,Ugzy-MrxFDckGTi-iTt4AaABAg,@DavidHolmes-i1i,UC6GfRs8S2fuj2VXsKOpBVEA,When you don't pay attention to the show,en,2025-10-11T10:19:20Z,2025-10-11 06:19:20,2
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugzy-MrxFDckGTi-iTt4AaABAg.ANzQrWaQBmyAOIqNqsI4xt,Ugzy-MrxFDckGTi-iTt4AaABAg,@theroundclock,UCFJtbQisPQ6p8qGcdWX1_lw,@DavidHolmes-i1i But I did. The messaging is hamfisted and over the top.,en,2025-10-15T14:33:21Z,2025-10-15 10:33:21,2
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugzy-MrxFDckGTi-iTt4AaABAg.ANzQrWaQBmyAOIqumzlXWJ,Ugzy-MrxFDckGTi-iTt4AaABAg,@DavidHolmes-i1i,UC6GfRs8S2fuj2VXsKOpBVEA,​@theroundclock  You weren't paying attention if you think Dante was a bumbling buffoon.,en,2025-10-15T14:37:59Z,2025-10-15 10:37:59,1
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgzKCAEp7s94eExWopN4AaABAg.ANflhyOsoxRANmwoEtxf8L,UgzKCAEp7s94eExWopN4AaABAg,@DavidHolmes-i1i,UC6GfRs8S2fuj2VXsKOpBVEA,She's an important character that people wanted to see more of in the games.,en,2025-10-02T19:54:35Z,2025-10-02 15:54:35,1
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgySQsyNZom05Uvnpx14AaABAg.ALHkzu3YnJPALisFPUQOFK,UgySQsyNZom05Uvnpx14AaABAg,@Casso2611,UCrjzk22SfTxpTpg0bQXNelw,I mean she had the skills to back her shit up so I don’t really see the issue,en,2025-08-12T12:54:59Z,2025-08-12 08:54:59,1
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugyvq4qKkGj_bjjY7wp4AaABAg.ALAglWRcTOGALisLG77OoV,Ugyvq4qKkGj_bjjY7wp4AaABAg,@Casso2611,UCrjzk22SfTxpTpg0bQXNelw,"Jesus, using all the buzzwords aren’t we",nl,2025-08-12T12:55:47Z,2025-08-12 08:55:47,1
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugyvq4qKkGj_bjjY7wp4AaABAg.ALAglWRcTOGALjtIApscoc,Ugyvq4qKkGj_bjjY7wp4AaABAg,@dervakommtvonhinten517,UCMXqZdTBnzGhFnqpmN0ebww,"@Casso2611 nope, i can give examples for everything so im not just throwing buzzwords around. they actually fit here. or did you find any buzzword i used that doesnt fit?

and its FAR from ALL the buzzwords....",en,2025-08-12T22:23:20Z,2025-08-12 18:23:20,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugyvq4qKkGj_bjjY7wp4AaABAg.ALAglWRcTOGALlayrUitbO,Ugyvq4qKkGj_bjjY7wp4AaABAg,@Casso2611,UCrjzk22SfTxpTpg0bQXNelw,"@dervakommtvonhinten517boss babe doesn’t fit by any measure, for one those character are always characterized as unjustifiably pompous or egotistical, lady in the show is given valid reason for all her characteristics. She backs up her ego with legitimate skills, and again her beating Dante made sense given everything we see. You just saw a woman beating Dante and defaulted to the age old girlboss buzzwords like the incels always do",en,2025-08-13T14:21:46Z,2025-08-13 10:21:46,1
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugyvq4qKkGj_bjjY7wp4AaABAg.ALAglWRcTOGALmWR0Df683,Ugyvq4qKkGj_bjjY7wp4AaABAg,@dervakommtvonhinten517,UCMXqZdTBnzGhFnqpmN0ebww,"@Casso2611 thats not true. 

1. her having better reflexes than a demon is just not possible. even with the tech she is given. the accelleration of her equipment would give her a concussion. 
2. she is always in her boss babe mode. even with her trusted teammates, she never shows a relaxed side of hers. at least till i dropped the show. 
3. where were the valid reasons? from an early age she had some obsession with beeing a demon hunter. what was the valid reasoning for that?

just because a girl is beating a guy doesnt make her a boss babe. if you want to see a good example, look at kpop demon hunters. mcs beat demons just like in this show, but the mcs are likeable and relatable.",en,2025-08-13T22:52:33Z,2025-08-13 18:52:33,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugx0fOHx9GbvDvpDcWZ4AaABAg.AKqidTFW-7vAKtAGMCPsMq,Ugx0fOHx9GbvDvpDcWZ4AaABAg,@wildbard4112,UCIPTsm8ePIkKKVu26x5KrBg,"If you like the show you'll love the games. 

But remember, don't fall into the trap of constantly comparing the show to the game.",en,2025-07-22T16:22:09Z,2025-07-22 12:22:09,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,Ugxm5VsW8880M94yie54AaABAg.AKcsvA-kZRVALisQvkWOOM,Ugxm5VsW8880M94yie54AaABAg,@Casso2611,UCrjzk22SfTxpTpg0bQXNelw,"Incel over here, would it make you feel better if I told you he was clearly holding back",en,2025-08-12T12:56:33Z,2025-08-12 08:56:33,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgwNJVdOwcVZOKjSvLx4AaABAg.AKbADMoWNZaAKhFHFuK1qR,UgwNJVdOwcVZOKjSvLx4AaABAg,@wildbard4112,UCIPTsm8ePIkKKVu26x5KrBg,You straight up watched a different show,en,2025-07-18T01:15:05Z,2025-07-17 21:15:05,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgwNJVdOwcVZOKjSvLx4AaABAg.AKbADMoWNZaAKxO88V-43X,UgwNJVdOwcVZOKjSvLx4AaABAg,@Obidov_ibrohim,UC_eoVnKnJMVV9iGvbTNog1w,"@wildbard4112 No, I watched exactly what was shown — a beautifully animated series that sidelined its main character. Just because it looked good doesn’t mean it told the story it should’ve.",en,2025-07-24T07:40:19Z,2025-07-24 03:40:19,0
OlEqHXRrcpc,Devil May Cry | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T22:00:00Z,UgwNJVdOwcVZOKjSvLx4AaABAg.AKbADMoWNZaAKxeYLXRRW5,UgwNJVdOwcVZOKjSvLx4AaABAg,@wildbard4112,UCIPTsm8ePIkKKVu26x5KrBg,​@Obidov_ibrohim Then how come Dante has the most screen time?,it,2025-07-24T10:12:27Z,2025-07-24 06:12:27,0
