video_id,comment_id,comment_content,author,published_at,like_count,reply_count
xVe6XGdctOs,UgyunxeCTxxG7fP05hN4AaABAg,😬,@ИлйосбекЭгамберганов,2025-12-23T17:53:09Z,0,0
xVe6XGdctOs,Ugxmwq-xTXaF3GWPXmN4AaABAg,Yoro has been poor and not closing defenders faster... His lacking but being paid hugely... His been costing goals,@augustinearthur4561,2025-12-23T10:16:55Z,0,0
xVe6XGdctOs,UgxxYA0gtTqMzhqVc0N4AaABAg,How can Man Utd be conceding too many goals like that,@augustinearthur4561,2025-12-23T10:15:19Z,0,0
xVe6XGdctOs,Ugy19nabm2j-Fhojg_R4AaABAg,the laughingstock of everyone,@nicolasrozzatti9132,2025-12-22T09:14:31Z,0,0
xVe6XGdctOs,Ugz6GeLsWpt0Czv1ujl4AaABAg,awas kalau kalah sama aston villa,@Hahayezveryepic,2025-12-21T10:57:05Z,0,0
xVe6XGdctOs,UgzhoaF-78CstLws3At4AaABAg,"The best defending combination was missing. We needed to win it, but it's not bad with a draw, as Bournemouth too came so strong in the 2nd half.",@godislove7016,2025-12-20T05:18:18Z,0,0
xVe6XGdctOs,UgxCt6RBvV-eR-LwPAZ4AaABAg,Worst goalkeeper.. buy another goalkeeper...,@uttammukhia1486,2025-12-19T15:40:04Z,0,0
xVe6XGdctOs,Ugxl62YMg5rt25S8N8B4AaABAg,Lammens is just another Onana,@mosesndiritu6346,2025-12-19T13:16:52Z,0,0
xVe6XGdctOs,UgwHNZAHeMWvLqhp7K14AaABAg,Ayden Heaven is a poor player He Have to be banched for the next machetes,@ESKEDARBirhanu-o5b,2025-12-19T11:08:41Z,0,0
xVe6XGdctOs,Ugz8y8alGpcdGRinSKt4AaABAg,Next time better,@Sancho433-i7q,2025-12-19T02:01:48Z,0,0
xVe6XGdctOs,Ugw6zZdiGWHGxw-H6_14AaABAg,Mera channel monetize hua hai aapko mere se na samajhti hai❤❤❤,@deepakpatel0380,2025-12-18T10:47:31Z,0,0
xVe6XGdctOs,Ugy-sWouWQKpd9n9cvN4AaABAg,"“Ronaldo isn’t just a player — he’s the definition of hard work, passion, and victory 🔥🐐”",@Crushing50,2025-12-18T08:07:47Z,0,0
xVe6XGdctOs,Ugy3-nlR_ub1c61lZJ14AaABAg,Nice one united,@ThomasIsaac-t4m8q,2025-12-17T23:15:26Z,0,0
xVe6XGdctOs,UgxcPfoD4lzITlaJwzx4AaABAg,Wooo,@AlirezaShahraki-e7v,2025-12-17T20:53:18Z,0,0
xVe6XGdctOs,UgwtG9pbe1Ku6Cbm0Ip4AaABAg,Day 32 commenting on every United video until i meet Harry Maguire IRL,@MaChicrala,2025-12-17T19:56:24Z,0,0
xVe6XGdctOs,UgwNe55yUDmpVmscEVh4AaABAg,"Andre Onana stats by this time (match day 16) last season at Manchester United:  

👉2X Premier League best saves of the month award. 
👉1x Manchester United Best player of the Month
👉3x nominated for Manchester United player of the month.
👉Highest number (7x) clean sheets in the toughest league in the world, EPL. 
👉Highest number of goals prevented in Europe's top five leagues (5.7 goals prevented). 

His supposed ungrade Lammens with an improved squad has recorded one cleansheet in 16 games, and conceded 26 goals. 

Manchester United fans let's not be sentimental naives!...

OPEN YOUR EYES...ONANA is 1000x better than this new GK...",@medeasymade,2025-12-17T19:08:12Z,0,0
xVe6XGdctOs,Ugz_ktWx3rqtv7LAwuV4AaABAg,hilarious manu fans celebrating at half time on social media,@sieghart7889,2025-12-17T16:54:21Z,0,0
xVe6XGdctOs,UgzlsZE7_FkXwbelccV4AaABAg,Stairs ❤,@Bee-w9z,2025-12-17T16:32:24Z,0,0
xVe6XGdctOs,UgyRBnk0nAtnbPJfP1B4AaABAg,i hate it when dalot just stands there like it's holiday😂😂,@meispuis,2025-12-17T16:23:53Z,2,0
xVe6XGdctOs,Ugwz1wYU47v1eeNF8G14AaABAg,What happened to our defenders..😢,@beunique5050,2025-12-17T15:32:53Z,0,0
xVe6XGdctOs,Ugxa29kLVrAMhG0_s9V4AaABAg,Why removing Casimiro bring in Maino. Amorin sometime is not professional. Ugarte will be fine to block the defence more but bring in Maino is a bad decision in this match we are leading already.,@adeuyioluwasanya,2025-12-17T14:03:42Z,0,0
xVe6XGdctOs,UgxrB8mNek-1NqUmbnd4AaABAg,Man utd gk need to work,@nreingampoukamei2711,2025-12-17T12:09:44Z,0,0
xVe6XGdctOs,UgyvK75hxYoV4oKQGt54AaABAg,It's a shame for mu,@ВиталийЖелезный-ц7ъ,2025-12-17T11:29:37Z,0,0
xVe6XGdctOs,Ugxd1TyJkSBjTWZLIjN4AaABAg,I dont understand why having 3 defenders at back. That's not strong,@maccapele1,2025-12-17T11:27:23Z,0,0
xVe6XGdctOs,Ugw5ojwbBD65BJTbmvB4AaABAg,We need Maguire back please,@martinchava,2025-12-17T11:19:56Z,0,0
xVe6XGdctOs,UgzXqX5Vx6TNK3vjXGN4AaABAg,Turikuwanausikumbaya,@MwidimiKambi,2025-12-17T11:13:30Z,0,0
xVe6XGdctOs,UgyliAWt-A-KZl5cfLR4AaABAg,"AMORIM OUT..!!!
ZIDANE IN..!!!",@adjiealkadrie,2025-12-17T11:13:19Z,0,0
xVe6XGdctOs,UgzioTqYeJ0c9RXmnHp4AaABAg,"Neve give up next time will be better I love you man united ❤
One love for united ❤❤❤❤",@Annit-y3h,2025-12-17T09:55:27Z,0,0
xVe6XGdctOs,Ugz4kWpVeKHrqLsukMN4AaABAg,heia united!!!!!!!!,@GeirØstberg-t1d,2025-12-17T09:46:20Z,0,0
xVe6XGdctOs,Ugx0BJ-E2YnlEKzNkq14AaABAg,I miss De Ligt,@KofskiGhMusic,2025-12-17T09:42:16Z,0,0
xVe6XGdctOs,UgywkpgJX-E3jIaA2Zx4AaABAg,I just pity united for the next one month. All the african players are going to the afcon 😂,@Johnuchennanwosu,2025-12-17T09:22:50Z,0,0
xVe6XGdctOs,Ugy3EvT46ZW-gfQzGQx4AaABAg,We play with 3 CBs yet cant keep a cleansheet,@huntingforwifi7215,2025-12-17T09:21:53Z,0,0
xVe6XGdctOs,UgwjAsfUR3oX4M1pilh4AaABAg,"Im actually disgusted at how United is putting these interviews in the highlights now lol. Not because i mind them there but I knw they're doing it recently to fool us into thinkin they've made longer highlight reels 😂 (not literally disgusted btw, im playing)",@IsaacRudder,2025-12-17T08:58:33Z,0,0
xVe6XGdctOs,Ugxp8s29bxyZ_T2yNtV4AaABAg,We play only  one match in a week .. no europe and still can't beat Bournemouth,@Mangkyukuki,2025-12-17T08:12:16Z,1,0
